[5.033536636193372E-9, 0.9999291541002673]
[0.8518231943388025, -0.7733689076280297]
[0.8233461572443039, -0.4585567330131917]
[0.6184054441204898, -0.12436934691581478]
[0.6525160766030609, -0.458263259581103]
[0.4538992187315684, -0.1242183015074049]
[0.4093213788924418, 0.24205805445082765]
[0.25780228121257437, 0.2421613906448542]
[0.08301155461901044, 0.6696524504276276]
[0.18223604921145384, 0.6696121947945662]
[0.8317709917070678, -0.6110775461370239]
[0.012106230593554174, 0.8854776457177989]
[0.04649108492143344, 0.7385733130580954]
[0.23333442755976186, 0.31487552219631054]
[0.20071797979928585, 0.547457507823859]
[0.8286246774772013, -0.5589963684718064]
[0.01942684442935294, 0.8494859568638776]
[0.4187311047218943, 0.12047953216285077]
[0.8251781150222324, -0.4951379375241041]
[0.054334881806109375, 0.7130699293842198]
[0.6256734231618012, -0.242673233798642]
[0.4152620629938709, 0.17244727923109332]
[0.2289571602521635, 0.34098384166055273]
[0.41700939413630184, 0.14185840328925878]
[0.42810821728159726, 0.014911382938496972]
[0.826347374317364, -0.5175549883497444]
[0.20543032458626065, 0.511879505972873]
[0.19795127826080458, 0.5678159962593382]
[0.6448998909307816, -0.4396961640314568]
[0.6200428498030073, -0.15255489978848705]
[0.43436061575210594, -0.0420396233207894]
[0.4127872848247906, 0.19611251851627814]
[0.6213011862169112, -0.17365444399682264]
[0.4111264363588393, 0.21800918446524067]
[0.22580750046495568, 0.36113925331500063]
[0.2228636767260679, 0.3812513717915541]
[0.6318895100826164, -0.32725817408915525]
[0.004211536887827494, 0.9345481795133523]
[0.19450280472622095, 0.5923991956256138]
[0.029337803002825624, 0.8053463952907242]
[0.07011369603361214, 0.6786872927696829]
[0.20988625312683304, 0.47772198440830504]
[0.02628738768677291, 0.8185425594406133]
[0.6231794852553165, -0.20416236247018807]
[0.8394177758543232, -0.7096532299952897]
[0.041190210381179704, 0.7609378007223693]
[0.4217850269033219, 0.08389724806777028]
[0.8332474718253348, -0.6326326567549255]
[0.4318064014032381, -0.020291914687126617]
[0.8279881114493237, -0.5477170908226972]
[0.6282986895634468, -0.2801935509563627]
[0.18693780651274136, 0.6422140596237836]
[0.022002614539467946, 0.8380518348445942]
[0.06322928643217918, 0.690722459347096]
[0.20676988024236548, 0.50163655801682]
[0.6268777575649628, -0.26038847828505485]
[0.4300999834040451, -0.004570578244571312]
[0.43728881389346735, -0.06416111963134967]
[0.05927888691330513, 0.7007748804174697]
[0.6414930712110363, -0.4196525533463381]
[0.6375623843634096, -0.38798283131554767]
[0.43879958045974254, -0.07433344964164472]
[0.24759691211164248, 0.25551735924449515]
[0.640096011487407, -0.40942123644640055]
[0.2383866465677814, 0.2890556789036955]
[0.24383418186653272, 0.2679695914496346]
[0.21843707901100737, 0.424947222438462]
[0.8378176963276034, -0.6925277729989315]
[0.0029870374362225283, 0.9450664485603981]
[0.8345998333445449, -0.6523761248761685]
[0.03823917290527644, 0.7687930753410682]
[0.00848637498463338, 0.9056452449289485]
[0.4253069407941174, 0.044229979874682995]
[0.2116978301891134, 0.4638346915390536]
[0.6369996885123136, -0.3757319798098537]
[0.220119266931828, 0.40078357120863256]
[0.18237131859234312, 0.668867142110355]
[0.07729677615665276, 0.6714026815037778]
[7.408646880319066E-4, 0.9727641176917825]
[0.4422116285311839, -0.09403029094908011]
[0.6340285676045707, -0.3521363764511055]
[0.25736499655842693, 0.24581424042331773]
[0.6504243350152934, -0.4568553675478507]
[0.6229571199243311, -0.200615290084242]
[0.4483346543839237, -0.11547324608986247]
[0.44342722062383844, -0.09991055107342858]
[0.8423513619610041, -0.7359469077460272]
[0.6297548296917161, -0.3001870727277715]
[0.21470594662510023, 0.440935342797247]
[0.23888687016432092, 0.28676451668024794]
[0.8418240163079627, -0.7317162784265506]
[0.001101187709710079, 0.9667778883790905]
[0.8455672852890141, -0.756928854343454]
[0.6304066549777448, -0.30868325086540405]
[0.0342300065455344, 0.7859095413605984]
[0.8364748678136176, -0.6766838497143542]
[0.6344650720603182, -0.35692523418859]
[0.8461469393063379, -0.7598178269429172]
[0.2137726227872217, 0.4480086486594766]
[0.19249733638844793, 0.6062081934976056]
